Organization - Name,Organization - ID,Organization - Labels,Organization - Address
"OSI Group - Oakland, IA",556,"Customer, Protein, IQF, 🎯Target, ✅Ready, 🗣️Engaged","21876 Hwy 59, Oakland, Iowa 51560, USA"
"Wabash Valley - Dubois, IN",582,"Protein, IQF, Egg, 🎯Target, ✅Ready","4886 East 450N, Dubois, IN 47527, USA"
"Tyson dba Advanced Pierre- Enid, OK",634,"Customer, Protein, IQF, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","5110 Enterprise Boulevard, Enid, OK 73701, USA"
"Butterball - Carthage, MO",650,"Customer, Protein, IQF, Turkey, 🎯Target, ✅Ready, 🗣️Engaged","411 North Main Street, Carthage, MO 64836, USA"
"Cooper Farms - St Henry, OH",656,"Customer, Protein, IQF, Turkey, 🎯Target, ✅Ready","1 Cooper Farm Dr, St Henry, OH 45883, USA"
"Johnsonville Sausage (HQ) - Sheboygan Falls, WI",689,"Customer, Protein, Fresh/Refrigerated, IQF, RTE, Beef, Sausage","N 6928 Johnsonville Wy, Sheboygan Falls, WI 53085, USA"
"Miami Beef - Miami, FL",700,"Customer, Protein, IQF, Beef, 🎯Target, ✅Ready","4870 Northwest 157th Street, Miami Lakes, FL 33014, USA"
"Rastellis Foods - Swedesboro, NJ",717,"Customer, Protein, IQF, Beef, Sausage, 🎯Target, ✅Ready, 🗣️Engaged","300 Heron Dr, Swedesboro, NJ 08085, USA"
"Kellanova - Zanesville, OH",815,"Protein, IQF, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","1675 Fairview Rd, Zanesville, OH 43701, USA"
"Erie Meat Products - Listowel, ON",2112,"Protein, IQF, Beef, Chicken, 🎯Target, ✅Ready","1400 Mitchell Rd S, Listowel, ON, Canada"
"J&B Group - Saint Michael, MN",2216,"Customer, Protein, Fresh/Refrigerated, IQF, 🎯Target, ✅Ready, RMF","13200 43rd St NE, Saint Michael, MN 55376, USA"
"Intercity Packers - Richmond, BC",2256,"Protein, IQF, Beef, 🎯Target","1900 No 6 Rd, Richmond, BC V6V 1W3, Canada"
"Fair Oaks Foods / OSI - Pleasant Prairie, WI",2288,"Customer, Protein, IQF, Beef, Sausage, 🎯Target, ✅Ready, 🗣️Engaged","7600 95th Street, Pleasant Prairie, WI, USA"
Kepak - Ireland,2347,"Protein, IQF, Beef, 🎯Target, ✅Ready","Damastown, County Dublin, D15 AW62, Ireland"
"Cargill - Butler, WI",3856,"Customer, Protein, IQF, Beef","4700 N 132nd St, Butler, WI 53007, USA"
"Beyond Meat - Columbia, MO",3879,"Customer, Protein, IQF","2501 Lemone Industrial Blvd, Columbia, MO 65201, USA"
"Beyond Meat (HQ) - El Segundo, CA",3881,"Protein, IQF","888 N Douglas St suite 100, El Segundo, CA 90245, USA"
"Foster Farms - Turlock, CA",4003,"Protein, IQF, Chicken, 🎯Target","711 W F St, Turlock, CA 95380, USA"
"AC Meats - Tracy, CA",4209,"Protein, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","4276 N Tracy Blvd, Tracy, CA 95304, USA"
"Golden West Food Group - Los Angeles, CA",4211,"Protein, Fresh/Refrigerated, IQF, Beef, 🎯Target, ✅Ready, 🗣️Engaged, 👍🏼Qualified","4401 S Downey Rd, Vernon, Los Angeles, California, USA"
"Kraft Heinz - Newberry, SC",4337,"🎯Target, ✅Ready, Protein, IQF, Turkey, Beef","3704 Louis Rich Rd, Newberry, SC 29108, USA"
Has Food - Belgium,4377,"Protein, IQF, Beef, 🎯Target, ✅Ready","Turfputten 6, 2250 Olen, Belgium"
"Buckhead Meats - St Cloud, MN",4398,"🎯Target, ✅Ready, Customer, Protein, IQF","809 U.S. 10, St. Cloud, MN 56304, USA"
